F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
5 S     0 27705     1  1  90  10 - 16092 poll_s ?        01:08:38 python
0 T  7831 27791     1  0  80   0 - 41246 signal ?        00:00:00 ghc
0 S  7496 27865 25809  0  80   0 -  5143 wait   pts/4    00:00:00 bash
4 S     0 28985  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  8271 29016 28985  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  8271 29017 29016  0  80   0 -  3884 poll_s ?        00:00:00 sftp-server
4 S     0 29626  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6920 29658 29626  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6920 29659 29658  0  80   0 -  6003 wait   pts/39   00:00:00 bash
4 S     0 29942  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6857 29993 29942  0  80   0 -  7914 poll_s ?        00:00:02 sshd
0 S  6857 29994 29993  0  80   0 -  6005 wait   pts/46   00:00:00 bash
4 S     0 30240  1602  0  80   0 -  7914 poll_s ?        00:00:00 sshd
5 S  6920 30269 30240  0  80   0 -  7914 poll_s ?        00:00:00 sshd
0 S  6920 30270 30269  0  80   0 -  6003 n_tty_ pts/47   00:00:00 bash
0 S  5937 30373     1  0  80   0 - 14776 futex_ ?        00:00:00 vi
0 T  6398 31053 18589  0  80   0 -   879 signal pts/17   00:00:00 a.out
1 S  6183 31088     1  0  80   0 -   503 pause  pts/52   00:00:00 a.out
1 S  6183 31089     1  0  80   0 -   503 pause  pts/52   00:00:00 a.out
0 T  6398 31107 18589  0  80   0 -   879 signal pts/17   00:00:00 a.out
1 S     0 32269     2  0  80   0 -     0 worker ?        00:00:00 kworker/1:1
F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  4153 poll_s ?        00:24:09 init
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:02 kthreadd
1 S     0     3     2  0  80   0 -     0 run_ks ?        00:51:09 ksoftirqd/0
1 S     0     6     2  0 -40   - -     0 cpu_st ?        00:05:28 migration/0
5 S     0     7     2  0 -40   - -     0 watchd ?        00:00:29 watchdog/0
1 S     0     8     2  0 -40   - -     0 cpu_st ?        00:05:04 migration/1
1 S     0    10     2  0  80   0 -     0 run_ks ?        00:05:18 ksoftirqd/1
5 S     0    12     2  0 -40   - -     0 watchd ?        00:00:23 watchdog/1
1 S     0    13     2  0 -40   - -     0 cpu_st ?        00:04:49 migration/2
1 S     0    15     2  0  80   0 -     0 run_ks ?        00:04:53 ksoftirqd/2
5 S     0    16     2  0 -40   - -     0 watchd ?        00:00:23 watchdog/2
1 S     0    17     2  0  60 -20 -     0 rescue ?        00:00:00 cpuset
1 S     0    18     2  0  60 -20 -     0 rescue ?        00:00:00 khelper
5 S     0    19     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 S     0    20     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    22     2  0  80   0 -     0 bdi_sy ?        00:00:16 sync_supers
1 S     0    23     2  0  80   0 -     0 bdi_fo ?        00:00:01 bdi-default
1 S     0    24     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
